sample,Species,Replicate,Tissue,Mol_type,Mol_conc (%DW),Inorg (%DW),OM (%DW),AFDW (%DW),N%,C%
1,A. aurita,1,body,protein,2.9,96.11,3.89,18.31,1.57,6.05
2,A. aurita,1,body,protein,4.53,94.43,5.57,18.17,1.55,5.88
3,A. aurita,1,body,protein,4.26,94.79,5.21,19.16,1.57,6.17
4,A. aurita,1,mucus,protein,1.43,98.22,1.78,13.1,0.45,1.74
5,A. aurita,1,mucus,protein,1.14,98.52,1.48,12.84,0.42,1.62
6,A. aurita,1,mucus,protein,1.23,98.45,1.55,13.56,0.44,1.7
7,A. aurita,2,body,protein,3.84,95.42,4.58,14.87,0.96,3.46
8,A. aurita,2,body,protein,3.65,95.7,4.3,15.67,1.04,3.72
9,A. aurita,2,body,protein,3.6,95.67,4.33,14.79,1,3.62
10,A. aurita,2,mucus,protein,2.78,96.44,3.56,13.84,0.51,1.99
11,A. aurita,2,mucus,protein,1.86,97.44,2.56,14.05,0.47,1.97
12,A. aurita,2,mucus,protein,1.91,97.63,2.37,14.52,0.49,1.95
13,C. fulgida,1,body,protein,4.07,94.66,5.34,18,1.47,5.11
14,C. fulgida,1,body,protein,5.29,93.24,6.76,18.67,1.42,5.07
15,C. fulgida,1,body,protein,5.53,93.34,6.66,18.37,1.37,4.93
16,C. fulgida,1,mucus,protein,0.35,99.5,0.5,11.78,0.25,0.86
17,C. fulgida,1,mucus,protein,0.78,99.08,0.92,12.35,0.21,0.7
18,C. fulgida,1,mucus,protein,0.57,99.27,0.73,12.13,0.2,0.67
19,C. fulgida,2,body,protein,8.71,88.99,11.01,25.6,2.65,9.63
20,C. fulgida,2,body,protein,8.68,88.46,11.54,25.58,2.65,9.64
21,C. fulgida,2,body,protein,8.74,88.65,11.35,26.56,2.6,9.81
22,C. fulgida,2,mucus,protein,1.53,98.18,1.82,13.24,0.44,1.68
23,C. fulgida,2,mucus,protein,1.56,98.09,1.91,13.79,0.44,1.66
24,C. fulgida,2,mucus,protein,1.61,98.03,1.97,13.69,0.44,1.66
25,C. fulgida,3,body,protein,7.33,91.14,8.86,20.45,1.8,6.58
26,C. fulgida,3,body,protein,5.94,92.53,7.47,20.88,1.77,6.46
27,C. fulgida,3,body,protein,7.81,90.51,9.49,21.24,1.72,6.28
28,C. fulgida,3,mucus,protein,3.24,96.35,3.65,15.76,0.67,2.63
29,C. fulgida,3,mucus,protein,2.38,97.03,2.97,15.9,0.68,2.61
30,C. fulgida,3,mucus,protein,2.92,96.45,3.55,15.78,0.7,2.74
31,R. pulmo,1,body,protein,10.23,87.71,12.29,24.81,2.43,9.1
32,R. pulmo,1,body,protein,9.69,88.68,11.32,24.86,2.47,9.02
33,R. pulmo,1,body,protein,10.31,87.92,12.08,25.84,2.75,9.79
34,R. pulmo,1,mucus,protein,1.35,98.27,1.73,12.49,0.31,1.29
35,R. pulmo,1,mucus,protein,0.99,98.76,1.24,12.38,0.32,1.3
36,R. pulmo,1,mucus,protein,1.7,98.08,1.92,13.09,0.32,1.25
37,R. pulmo,2,body,protein,8.88,89.73,10.27,21.39,1.8,6.95
38,R. pulmo,2,body,protein,7.07,91.57,8.43,20.76,1.65,6.49
39,R. pulmo,2,body,protein,9.95,88.74,11.26,21.29,2.14,7.85
40,R. pulmo,2,mucus,protein,1.47,98.21,1.79,13.01,0.3,1.3
41,R. pulmo,2,mucus,protein,1.42,98.24,1.76,13.19,0.29,1.62
42,R. pulmo,2,mucus,protein,1.36,98.31,1.69,12.89,0.29,1.34
43,E. inexplicata,1,body,protein,0.86,98.9,1.1,14.6,0.67,2.16
44,E. inexplicata,1,body,protein,1.6,98.2,1.8,14.37,0.74,2.45
45,E. inexplicata,1,body,protein,0.89,98.92,1.08,16.24,0.62,2.1
46,E. inexplicata,1,mucus,protein,0.52,99.3,0.7,10.43,0.21,0.79
47,E. inexplicata,1,mucus,protein,0.51,99.34,0.66,11.24,0.21,0.8
48,E. inexplicata,1,mucus,protein,0.45,99.4,0.6,11.57,0.2,0.81
49,C. pacifica,1,mucus,protein,0.68,99.15,0.85,10.13,0.31,1.06
50,C. pacifica,1,mucus,protein,0.82,99.01,0.99,10.68,0.3,1.03
51,C. pacifica,1,mucus,protein,1.41,98.41,1.59,10.49,0.3,1.03
1,A. aurita,1,body,lipid,0.65,96.11,3.89,18.31,1.57,6.05
2,A. aurita,1,body,lipid,0.67,94.43,5.57,18.17,1.55,5.88
3,A. aurita,1,body,lipid,0.68,94.79,5.21,19.16,1.57,6.17
4,A. aurita,1,mucus,lipid,0.21,98.22,1.78,13.1,0.45,1.74
5,A. aurita,1,mucus,lipid,0.21,98.52,1.48,12.84,0.42,1.62
6,A. aurita,1,mucus,lipid,0.22,98.45,1.55,13.56,0.44,1.7
7,A. aurita,2,body,lipid,0.61,95.42,4.58,14.87,0.96,3.46
8,A. aurita,2,body,lipid,0.57,95.7,4.3,15.67,1.04,3.72
9,A. aurita,2,body,lipid,0.55,95.67,4.33,14.79,1,3.62
10,A. aurita,2,mucus,lipid,0.6,96.44,3.56,13.84,0.51,1.99
11,A. aurita,2,mucus,lipid,0.55,97.44,2.56,14.05,0.47,1.97
12,A. aurita,2,mucus,lipid,0.36,97.63,2.37,14.52,0.49,1.95
13,C. fulgida,1,body,lipid,0.54,94.66,5.34,18,1.47,5.11
14,C. fulgida,1,body,lipid,0.79,93.24,6.76,18.67,1.42,5.07
15,C. fulgida,1,body,lipid,0.48,93.34,6.66,18.37,1.37,4.93
16,C. fulgida,1,mucus,lipid,0.08,99.5,0.5,11.78,0.25,0.86
17,C. fulgida,1,mucus,lipid,0.07,99.08,0.92,12.35,0.21,0.7
18,C. fulgida,1,mucus,lipid,0.1,99.27,0.73,12.13,0.2,0.67
19,C. fulgida,2,body,lipid,1.05,88.99,11.01,25.6,2.65,9.63
20,C. fulgida,2,body,lipid,1.67,88.46,11.54,25.58,2.65,9.64
21,C. fulgida,2,body,lipid,1.25,88.65,11.35,26.56,2.6,9.81
22,C. fulgida,2,mucus,lipid,0.2,98.18,1.82,13.24,0.44,1.68
23,C. fulgida,2,mucus,lipid,0.19,98.09,1.91,13.79,0.44,1.66
24,C. fulgida,2,mucus,lipid,0.19,98.03,1.97,13.69,0.44,1.66
25,C. fulgida,3,body,lipid,0.79,91.14,8.86,20.45,1.8,6.58
26,C. fulgida,3,body,lipid,0.73,92.53,7.47,20.88,1.77,6.46
27,C. fulgida,3,body,lipid,0.82,90.51,9.49,21.24,1.72,6.28
28,C. fulgida,3,mucus,lipid,0.31,96.35,3.65,15.76,0.67,2.63
29,C. fulgida,3,mucus,lipid,0.34,97.03,2.97,15.9,0.68,2.61
30,C. fulgida,3,mucus,lipid,0.35,96.45,3.55,15.78,0.7,2.74
31,R. pulmo,1,body,lipid,0.77,87.71,12.29,24.81,2.43,9.1
32,R. pulmo,1,body,lipid,0.88,88.68,11.32,24.86,2.47,9.02
33,R. pulmo,1,body,lipid,0.81,87.92,12.08,25.84,2.75,9.79
34,R. pulmo,1,mucus,lipid,0.35,98.27,1.73,12.49,0.31,1.29
35,R. pulmo,1,mucus,lipid,0.18,98.76,1.24,12.38,0.32,1.3
36,R. pulmo,1,mucus,lipid,0.19,98.08,1.92,13.09,0.32,1.25
37,R. pulmo,2,body,lipid,1.14,89.73,10.27,21.39,1.8,6.95
38,R. pulmo,2,body,lipid,1.09,91.57,8.43,20.76,1.65,6.49
39,R. pulmo,2,body,lipid,1.1,88.74,11.26,21.29,2.14,7.85
40,R. pulmo,2,mucus,lipid,0.27,98.21,1.79,13.01,0.3,1.3
41,R. pulmo,2,mucus,lipid,0.28,98.24,1.76,13.19,0.29,1.62
42,R. pulmo,2,mucus,lipid,0.28,98.31,1.69,12.89,0.29,1.34
43,E. inexplicata,1,body,lipid,0.14,98.9,1.1,14.6,0.67,2.16
44,E. inexplicata,1,body,lipid,0.15,98.2,1.8,14.37,0.74,2.45
45,E. inexplicata,1,body,lipid,0.15,98.92,1.08,16.24,0.62,2.1
46,E. inexplicata,1,mucus,lipid,0.15,99.3,0.7,10.43,0.21,0.79
47,E. inexplicata,1,mucus,lipid,0.14,99.34,0.66,11.24,0.21,0.8
48,E. inexplicata,1,mucus,lipid,0.13,99.4,0.6,11.57,0.2,0.81
49,C. pacifica,1,mucus,lipid,0.12,99.15,0.85,10.13,0.31,1.06
50,C. pacifica,1,mucus,lipid,0.12,99.01,0.99,10.68,0.3,1.03
51,C. pacifica,1,mucus,lipid,0.13,98.41,1.59,10.49,0.3,1.03
1,A. aurita,1,body,carbohydrate,0.34,96.11,3.89,18.31,1.57,6.05
2,A. aurita,1,body,carbohydrate,0.37,94.43,5.57,18.17,1.55,5.88
3,A. aurita,1,body,carbohydrate,0.28,94.79,5.21,19.16,1.57,6.17
4,A. aurita,1,mucus,carbohydrate,0.14,98.22,1.78,13.1,0.45,1.74
5,A. aurita,1,mucus,carbohydrate,0.13,98.52,1.48,12.84,0.42,1.62
6,A. aurita,1,mucus,carbohydrate,0.09,98.45,1.55,13.56,0.44,1.7
7,A. aurita,2,body,carbohydrate,0.14,95.42,4.58,14.87,0.96,3.46
8,A. aurita,2,body,carbohydrate,0.07,95.7,4.3,15.67,1.04,3.72
9,A. aurita,2,body,carbohydrate,0.19,95.67,4.33,14.79,1,3.62
10,A. aurita,2,mucus,carbohydrate,0.18,96.44,3.56,13.84,0.51,1.99
11,A. aurita,2,mucus,carbohydrate,0.15,97.44,2.56,14.05,0.47,1.97
12,A. aurita,2,mucus,carbohydrate,0.11,97.63,2.37,14.52,0.49,1.95
13,C. fulgida,1,body,carbohydrate,0.73,94.66,5.34,18,1.47,5.11
14,C. fulgida,1,body,carbohydrate,0.68,93.24,6.76,18.67,1.42,5.07
15,C. fulgida,1,body,carbohydrate,0.65,93.34,6.66,18.37,1.37,4.93
16,C. fulgida,1,mucus,carbohydrate,0.07,99.5,0.5,11.78,0.25,0.86
17,C. fulgida,1,mucus,carbohydrate,0.07,99.08,0.92,12.35,0.21,0.7
18,C. fulgida,1,mucus,carbohydrate,0.06,99.27,0.73,12.13,0.2,0.67
19,C. fulgida,2,body,carbohydrate,1.25,88.99,11.01,25.6,2.65,9.63
20,C. fulgida,2,body,carbohydrate,1.2,88.46,11.54,25.58,2.65,9.64
21,C. fulgida,2,body,carbohydrate,1.36,88.65,11.35,26.56,2.6,9.81
22,C. fulgida,2,mucus,carbohydrate,0.1,98.18,1.82,13.24,0.44,1.68
23,C. fulgida,2,mucus,carbohydrate,0.16,98.09,1.91,13.79,0.44,1.66
24,C. fulgida,2,mucus,carbohydrate,0.17,98.03,1.97,13.69,0.44,1.66
25,C. fulgida,3,body,carbohydrate,0.74,91.14,8.86,20.45,1.8,6.58
26,C. fulgida,3,body,carbohydrate,0.8,92.53,7.47,20.88,1.77,6.46
27,C. fulgida,3,body,carbohydrate,0.87,90.51,9.49,21.24,1.72,6.28
28,C. fulgida,3,mucus,carbohydrate,0.11,96.35,3.65,15.76,0.67,2.63
29,C. fulgida,3,mucus,carbohydrate,0.25,97.03,2.97,15.9,0.68,2.61
30,C. fulgida,3,mucus,carbohydrate,0.28,96.45,3.55,15.78,0.7,2.74
31,R. pulmo,1,body,carbohydrate,1.29,87.71,12.29,24.81,2.43,9.1
32,R. pulmo,1,body,carbohydrate,0.75,88.68,11.32,24.86,2.47,9.02
33,R. pulmo,1,body,carbohydrate,0.96,87.92,12.08,25.84,2.75,9.79
34,R. pulmo,1,mucus,carbohydrate,0.04,98.27,1.73,12.49,0.31,1.29
35,R. pulmo,1,mucus,carbohydrate,0.07,98.76,1.24,12.38,0.32,1.3
36,R. pulmo,1,mucus,carbohydrate,0.03,98.08,1.92,13.09,0.32,1.25
37,R. pulmo,2,body,carbohydrate,0.25,89.73,10.27,21.39,1.8,6.95
38,R. pulmo,2,body,carbohydrate,0.27,91.57,8.43,20.76,1.65,6.49
39,R. pulmo,2,body,carbohydrate,0.21,88.74,11.26,21.29,2.14,7.85
